<DOC1017>	2003-09-2222:10:55新浪网友发表评论　IP:219.153.137,大众途安MPV预计11月下线比马自大MPV大一些样子更漂亮基本型价格17万左右配置很好！！！</DOC1017>
<DOC1967>	福美来跟15万以上的车相比,降噪的处理,内饰的精细程度都有不足之处.</DOC1967>
<DOC1969>	车内全部采用深色的内饰，稳重而丝毫不显单调，用料与质感远远高于绝大多数国产SUV，几处圆形的按键和画龙点睛的镀铬点缀再次突出了爱腾的运动风格。</DOC1969>
<DOC1972>	金色之旅的悬挂和底盘与顶级阁瑞斯一般无二.</DOC1972>
<DOC1985>	售价一直处在高位的宝来自不必说，就是与16.68万的伊兰特1.8L自动档、15.98万的凯越1.8LE比起来，1-2万的差价同样凸显出精英级的价格优势。</DOC1985>
<DOC2031>	BORA的隔音比PST和别克差，比plm强多了。</DOC2031>
<DOC2033>	在行政级豪华车，我选择BENZ的S系列，它无论从外型、舒适度、品牌传统在这个级别中都要高于BMW的7系。尽管我许多朋友买了7系，但我总免不了说他们一顿。　　BMW的5系，可以把它看成放大的3系，所以驾驭感觉不如3系好。</DOC2033>
<DOC2066>	感觉比TJ376的抖动好得多,而且空调降温比LJ465得还好.</DOC2066>
<DOC2069>	君威3.0起步明显优于帕萨特１．８Ｔ手自一体，中途加速两车差不多。</DOC2069>
<DOC2093>	凯旋发动机、变速厢与307一样。</DOC2093>
<DOC2101>	今天本来是去看318的，但是店里没实车，只有款320，销售说车子大小、外观都一样~驾驶感觉也相差不大。</DOC2101>
<DOC2109>	君威3.0行驶噪音并不明显低于帕萨特１．８Ｔ手自一体，减震也差不多。</DOC2109>
<DOC2236>	优点：空间大，动力也不错，刹车比起东南的得利卡好的多,但是油门比人家的车重.</DOC2236>
<DOC2246>	瑞虎的风噪和路噪不如爱丽舍。</DOC2246>
<DOC2257>	动力、空间、操纵感在10万元以下的车里，没能比上它的。</DOC2257>
<DOC2287>	瑞虎的风噪和路噪比一般越野车要好得多。</DOC2287>
<DOC2330>	这车还不及JL、BYD等国产车啊。</DOC2330>
<DOC2337>	先不说款式，就其稳定性、操控性和制动性也都要好于桑3000。</DOC2337>
<DOC2354>	这些车底盘系统、驾驶性能上都不逊于BMW5系列，因国内价格原因及本人的熟悉程度，我就用大众系列与5系作比较。</DOC2354>
<DOC2392>	这次马自达推出的2.0发动机采用了全铝结构和可变进气控制系统，最大功率为下35马力，在同级车中处于平均水平，高于帕萨特，低子雅阁和蒙迪欧。</DOC2392>
<DOC2406>	怕撒特的故障远高于中华且费油，维修保养也贵。</DOC2406>
<DOC2432>	标准型37800元带安全钢梁，比夏利等同价位的车空间大、功能多，款式新。</DOC2432>
<DOC2450>	在速腾和宝来之间纠结好久，速腾平台比宝来要高，外形比宝来要大气。</DOC2450>
<DOC2457>	福美来在5万公里正常保养成本费用、燃油消耗成本费用等方面优势相当明显，福美来的养护成本比伊兰特、凯越都低，与小排量的威驰、飞度媲美，这在国内燃油价格持续“升温”的情况下无疑给海马车主吃了一颗定心丸。</DOC2457>
<DOC2477>	现在的320除了个儿大一点，质量、动力及驾驶感觉还不如318I。</DOC2477>
<DOC2480>	结果是在我们看来不分伯仲，我们感觉BMW四平八稳，帕萨特活泼灵巧，都很好操控，中间提速帕萨特感觉快一些，更直接一些，噪音是帕萨特大，尤其是后座，但AUDI就小多了，高速时发动机的声音BMW大一些，帕萨特的沉闷，BMW的高冗都让人激动。</DOC2480>
<DOC2484>	做工不如速跑3.0,但比速跑2.4好..</DOC2484>
<DOC2562>	虽然福美来精英级促销后的价位在同级车中最低，但配置与其他同级车型的配置相比却有过之而无不及。</DOC2562>
<DOC2580>	风噪和胎噪也跟咱小三差不多，避震也硬，估计这个价位的车都是这样的吧！</DOC2580>
<DOC2609>	我感觉这车子比q7和卡宴还要炫！</DOC2609>
<DOC2614>	===================================================要死就趁早,不懂营销,不懂市场,2.0AT,2.4AT顶级版连真皮,天窗都没有,价格比东方之子贵多了</DOC2614>
<DOC2682>	瑞虎的风噪和路噪比普桑强。</DOC2682>
<DOC2689>	从品牌知名度、可靠性、耐用性等角度考虑，福美来只能算是三流车，它与宝来、高尔夫、花冠、通用等，根本不在一个等量级，这也是为什么福美来只好实行低价格战略的原因。</DOC2689>
<DOC2741>	另外在做工上，说实话跟我们小三差不多档次，至少不觉得比我的风采版要好，跟12款的帝豪比更是有明显差距！</DOC2741>
<DOC2750>	可以其他的车型做一下比较,他的外观、空间、安全性、操纵性能等总之这款多功能车毕竟能成为MPV领域最受欢迎的销售排行榜冠军。</DOC2750>
<DOC2776>	捷达的底盘技术（悬架、车身）确是落后，但就其发动机及相应的电子设备来说与其它品牌相比并不落后，有些方面还有优势，这就是为何它能继续生存的原因。</DOC2776>
<DOC2797>	蓝鸟2.0曾经利用很高的配置卖的比雅阁2.0还贵，还有索纳塔2.0也是。</DOC2797>
<DOC2799>	新飞度的综合性能甚至比POLO、马自达2这些新一代A0级车都逊色。</DOC2799>
<DOC2815>	但是我觉得空间不如阁瑞斯大，阁瑞斯车身比较大气豪华点，因为阁瑞斯车身近2吨，相比之下风行比较省油。</DOC2815>
<DOC2847>	前部比老中华漂亮多了，老中华那对前大灯堪称天下第一奇丑！</DOC2847>
<DOC2861>	虽然与皇冠相比配置底一点价格高一点!</DOC2861>
<DOC2862>	与九代思域乞丐版比，配置基本一样，价钱少2万，基本就是H标的价钱。</DOC2862>
<DOC2886>	功率和车速没什么提高，与现存的同类车型没什么区别和创新，还要价这么贵，你当老百姓都是傻子？</DOC2886>
<DOC2970>	CITY是和我一个办公室的女同事的车，以前常坐她车出去办事，空调燥音确实是小过宝来，没那么吵，不过制冷效果和速度绝不比宝来快。</DOC2970>
<DOC2984>	噪音也比蓝鸟小，后排乘坐更是没法比！</DOC2984>
<DOC2991>	油耗方面，市区开空调，AT的车也能开到11-13个油左右，跟广本、帕萨特差不多或好点，明显比君威节油。</DOC2991>
<DOC3026>	我喜欢宝宝,因为它有张有弛,想快不输给很多高档车,想省油也不输给小排量车!</DOC3026>
<DOC3029>	但是中国的汽车市场发展到今天，已经不是一辆桑塔纳可以独步武林的时候了，新车层出不穷，新车的设计、配置和质量与老车不可同日而语，这时候的捷达，如果再拿皮实来形容就显得非常不合时宜了。</DOC3029>
<DOC3036>	本人看过美人豹，所有的国产车外部、内饰都不及美人豹。</DOC3036>
<DOC3074>	隔音、内饰做工不如帕萨特。</DOC3074>
<DOC3089>	伊车外观漂亮，大方，价格和捷达一样，配置比捷达先进100倍！！！</DOC3089>
<DOC3113>	实际上,买1.8顶配的凯越和依兰特绝对不如加点钱买丰田花冠.</DOC3113>
<DOC3121>	它的空间比凯越,伊兰特大，做工，外观比它们漂亮．</DOC3121>
<DOC3162>	内饰比不上ＴＴ，但比吉利、夏利要好。</DOC3162>
<DOC3210>	7通用的售后服务肯定比神龙富康/东风雪铁龙更好;</DOC3210>
<DOC3216>	我们部门领导是PASSAT1.8T，没少开那车，空调比宝宝强不少，燥音一样。</DOC3216>
<DOC3275>	奇瑞A1的ACTECO发动机和标致206的ETEC发动机、马自达2的MZR发动机相比，毫不逊色。</DOC3275>
<DOC3281>	它与日本本土生产的花冠在外形以及车身尺寸上都略有区别。</DOC3281>
<DOC3331>	车辆在4s店停了将近一个月后，终于修好了，期间我一直用自己的私车干公事，我的车价格比捷达低—乐驰，车龄比捷达老—2年，但是身体比捷达硬朗得多。</DOC3331>
<DOC3333>	发动机声音不大，但隔离风噪胎噪共振的效果就相当差了，同事的日系车咱就不比了，克鲁兹比不过，世嘉比不过，8W多的赛拉图咱比不过，竟然连6W多的福美来都比不过啊。</DOC3333>
<DOC3366>	安全性：比想象中结实，我不可能去试气囊，但其他都看过试过，和德美车比是没得比的了，比一般日产本田的还是厚实一点；</DOC3366>
<DOC3370>	伊车外观漂亮，大方，价格和捷达一样，配置比捷达先进100倍！</DOC3370>
<DOC3374>	捷达和同时代的众多微面，如天津大发、华丽、松花江、长安、五菱，和夏利、桑塔纳等相比，无疑是皮实的。</DOC3374>
<DOC3409>	新宝来的做工及选材可以说是中规中矩，虽然和师兄们相比略有差距，但对于一款10万左右的车来说，我们也不能苛求的太多了。</DOC3409>
<DOC3462>	另外，风行的底盘比瑞风要高一点，也就是说，稳定性就差一点。</DOC3462>
<DOC3471>	856公里开下来觉得回头率挺高的，自己感觉也不错.百公里油耗在6.6-7.5之间，比老普桑还省一点,噪音也小。</DOC3471>
<DOC3474>	四、1.8T油耗低很多，前驱车的故障率和维护费也也四驱车低很多。</DOC3474>
<DOC3490>	放在一起外型比帕萨特，君威都要好！</DOC3490>
<DOC3536>	36万，其2：配件和维修费要高出PASSAT60%，《我在上汽和一汽维修站考察过》其3：6缸车动力和平顺性要比4缸机强得多，多个蜗轮增压要加近2万元，不值。</DOC3536>
<DOC3538>	奥德赛的最高车速和加速能力都在GL8之上。</DOC3538>
<DOC3550>	8.48w,8.18w的和原323的动力是不一样的,说一样的是在骗你.</DOC3550>
<DOC3563>	乘坐比奥托、吉利、夏利空间都大，特别是后座没有曲腿的感觉。</DOC3563>
<DOC3613>	广本思迪、奇瑞A5、新爱丽舍这些车的空间都比不上悦动！</DOC3613>
<DOC3616>	骏捷和F3的性能也比A3好。</DOC3616>
<DOC3619>	索纳塔或者远舰不如新中华。</DOC3619>
<DOC3663>	朗逸和大多数德系车一样，外观和内饰以沉稳、传统为主调。</DOC3663>
<DOC3685>	大家也知道05款的宝来和04款甚至03款相比，在配置上都进行了缩水，期望以抬高价格来提升自己中高档车形象的做法，相信国内的消费者是很难认可的。</DOC3685>
<DOC3765>	花冠的质量比宝来和307好得多,外观也大方得多,目前,价格与宝来和307差不多,甚至稍低,绝对物有所值,大众的车在欧美质量排名已经垫低了,法国车小毛病多是公认的,丰田车的品质有口皆卑,始终在北美质量评比中稳列前三名,另外,宝来太短,307太丑.</DOC3765>
<DOC3783>	客观地说，奥迪既不是垃圾也不能和宝马、奔驰的品牌同日而语；</DOC3783>
<DOC3796>	与同价位的车子比较，驾驶座椅和方向盘的调整功能少；车内噪音较大；内饰确实不够精细；无天窗；关于车辆的稳定控制等方面有利于行车操控的功能较少；空调不是自动控制的。</DOC3796>
<DOC3831>	318i领先是合成皮，并不是所谓真皮，但在4s店仔细与5系、7系的真皮座椅比对，以我的眼力没看出（感觉出）什么差别（5、7系车主不要拍砖啊）。</DOC3831>
<DOC3832>	十、从购买价格讲，夏利N349800元，TTF248900元，价格差不多，仅从一次购买费用和驾驶感觉看当然TT好；</DOC3832>
<DOC3839>	总体来看，金杯阁瑞斯在动力、环保方面比其风行都略胜一筹。</DOC3839>
<DOC3899>	毕竟同样价格的宝来在空间、车型大小、配置上都敌不过日韩车型。</DOC3899>
<DOC3919>	3系的保养比C系列和A4了要厚道很多。</DOC3919>
<DOC3948>	是不准备买捷达车了,去买伊兰特,海马323都比捷达好!!!</DOC3948>
<DOC3970>	【原贴】新浪网友219.131.58.*2004-09-0611:52:43福美来1.8比较同档次车凯悦、宝来、花冠1.8的唯一好处是价位低，比凯悦、宝来省油，但省油又比不上花冠.</DOC3970>
<DOC4010>	景程的外观基本和雅阁、帕萨特这些中级车一样。</DOC4010>
<DOC4036>	我的新捷达春天舒适型的跑了1700公里了,感觉还不如菲亚特系列的车,还有起步也不如普桑快其它的目前还没发现,希望以后在这里多给大家一块交流.</DOC4036>
<DOC4048>	该车操控以及安全性能不比crv差。</DOC4048>
<DOC4160>	夏利最大扭矩出现在3600转，而吉利在6000转，所以夏利的提速应该轿吉利快，但是两车功率一样，最高速度不会有太大差距。</DOC4160>
<DOC4179>	第二，底盘明显不如A3扎实，走在不平的路上，后悬挂的声音感觉有点松散，跟A3那种咚咚声差很远。</DOC4179>
<DOC4248>	比较天籁的胡桃木就明也；三是感觉广本的市场营销比一汽做的好（毕竟还自认是老大吗？国营企业吗？慢半步），看看三箱飞度那不成比例的线条变知，我估计二箱飞度比三箱好卖，后者实在是难看。</DOC4248>
<DOC4298>	作为城市多用途车，说技术没有polo、福美来好，说价格没有羚羊、派里奥弟，说排气量没有赛欧、高尔、奇瑞大说越野性能又比不上jeep2500、塞弗、中兴猛。</DOC4298>
<DOC4299>	天籁的舒适性绝对在凯美瑞与雅阁之上。</DOC4299>
<DOC4329>	操控感还可以，操作反应不模糊，虽不如PASSET，但比日产、丰田、本田要清晰得多。</DOC4329>
<DOC4364>	不过GX7做工的确没有帝豪好，隔音也不如帝豪，只是后悬挂好点。</DOC4364>
<DOC4439>	新宝来销量不如朗逸的主要原因是1、发动机：朗逸比新宝来的略好点（据说新宝来1.6L明年要换成朗逸、波罗的发动机）。</DOC4439>
<DOC4484>	我就想不通;你福美来比依兰特和凯悦车型小,发动机是一个档次的,你所需的钢板比它们少,配置也不如它们,可你的车型都比它们老,价格确和它们一样,按照生产费用,你应该比它们少才对,今年你的价格在7-9万元才是发展的硬道理!</DOC4484>
<DOC4485>	从安全性来看，307的2.0驾御板从车的整装重量和安全设计决不比新宝来1.6板差。</DOC4485>
<DOC4488>	3、新宝来的整车工艺及一些主动安全配置高于奔腾B50；</DOC4488>
<DOC4489>	此外，据调试员介绍，国产宝马的发动机（２．５升排量）、最大扭矩、油耗量等技术参数与德国宝马区别不大。</DOC4489>
<DOC4528>	骏捷和F3的车内空间和外观毫不逊色于A3。</DOC4528>
<DOC4599>	120：之所以把这个车列入选车名单，是因为价格太给力了，就20万左右，样子我也喜欢，发动机功率和320一样比318高。</DOC4599>
<DOC4655>	3、操控是没得说了，即使赶不上迈腾、速腾，但说帕萨特我还是能保证的，以前开过兄弟的帕萨特还是不如我的新宝来，呵呵，要不我就选帕萨特了，起码我是这样认为的。</DOC4655>
<DOC4657>	吉利的空调效果好于夏利，冬天暖风的效果却都是一样，总体感觉还行。</DOC4657>
<DOC4736>	从空间，做工，外观等都比伊兰特,福美来和凯越好的多．</DOC4736>
<DOC4776>	相比这些竞争对手，Mazda62.0L豪华型在外形和底盘性能上有一定优势，如果能定一个适合的价格，相信较有竞争力。</DOC4776>
<DOC4778>	和同级别的起亚K2和polo，嘉年华等等车比较，性价比高！</DOC4778>
<DOC4782>	跟宝来及标致307相比底盘的性能肯定要差些,发动机质量也不可比.</DOC4782>
<DOC4790>	2、和3000比档位有些皱，但是挂档比较容易，档位比较清晰，好像在20万以下车手动变速器中能够达到和超过大众变速箱的很少。</DOC4790>
<DOC4797>	花冠的质量比宝来和307好得多!</DOC4797>
<DOC4892>	朗逸的舒适、豪华配置比一般的德系车高很多。</DOC4892>
<DOC4896>	以上是本人用本人瑞风车感觉,不过此车比金程/金杯看起来要好.</DOC4896>
<DOC4909>	新马6价格稍高　　比起老款马6，新款马6的改进集中在动力部分，但是以同级别配置比较（豪华型与豪华型相比），反而不如老款马6。</DOC4909>
<DOC4934>	还想跟奔驰,宝马比,价格性能都差档次,我代一楼的定.</DOC4934>
<DOC4950>	特瑞和领航者比较,明显动力不足,空间偏小。</DOC4950>
